last_name,first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Hoerner, Nico,663538,86,6.3,39.5,109.2,88.1,90.1,86.3,404,151,390,33,38.4,3,3.5,3
Bichette, Bo,666182,84,5.6,44,109.6,91.7,93.2,90.5,415,164,399,32,38.1,7,8.3,6.7
Verdugo, Alex,657077,82,9.5,41.5,109.9,89.4,92.8,87.8,419,170,390,35,42.7,6,7.3,5.7
Kwan, Steven,680757,82,15.2,40.2,104.4,85.9,88.2,85.5,351,160,,18,22,0,0,0
Ramírez, José,608070,80,18.9,27.5,110,88.4,92.2,86.8,424,181,412,31,38.8,5,6.3,4.8
Guerrero Jr., Vladimir,665489,80,9.6,31.3,115.5,94,96.8,93.3,436,168,395,46,57.5,10,12.5,9.6
Hayes, Ke'Bryan,663647,79,13.6,31.6,111.3,92.6,92.3,95.2,440,159,440,38,48.1,5,6.3,5.2
Acuña Jr., Ronald,660670,79,4.3,26.6,114.8,94,99.5,90.2,438,132,407,40,51.3,11,13.9,10.1
Bogaerts, Xander,593428,79,5.1,24.1,109.4,87.4,92.5,83.8,417,146,405,21,26.6,6,7.6,5.8
Bregman, Alex,608324,77,19.3,42.9,105.8,88.2,91.2,85.8,408,198,396,29,37.7,6,7.8,5.6
Turner, Justin,457759,77,16.7,33.8,108.1,90.6,92.3,89.4,388,183,387,31,40.3,3,3.9,2.9
France, Ty,664034,76,13.9,31.6,107.5,85.8,89.8,82.7,398,152,339,25,32.9,3,3.9,3
Stott, Bryson,681082,76,7.3,32.9,105.2,87.4,91.2,86.5,378,138,372,33,43.4,2,2.6,2
Dubón, Mauricio,643289,75,4.9,34.7,105.8,87.3,89.9,86,382,141,,25,33.3,1,1.3,1.2
Miranda, Jose,669304,75,9.2,34.7,106.7,87.7,89.1,88,399,140,,28,37.3,2,2.7,2.1
Albies, Ozzie,645277,75,12,36,109.2,86.8,91.2,84,421,173,392,29,38.7,10,13.3,10.3
Turner, Trea,607208,74,17.6,39.2,109.6,87.5,90.9,84.9,392,176,386,27,36.5,3,4.1,2.8
Marte, Ketel,606466,74,5.1,31.1,113.5,90.9,93.3,89.7,411,149,401,31,41.9,7,9.5,7.8
Semien, Marcus,543760,73,16.2,42.5,107.6,86.4,89.8,82,417,186,398,30,41.1,4,5.5,4
McNeil, Jeff,643446,73,10.7,23.3,104.6,86.7,91.6,84.8,373,129,355,24,32.9,2,2.7,2
Devers, Rafael,646240,73,16.2,37,115,94.5,97.7,94.2,424,191,385,40,54.8,13,17.8,12.9
Franco, Wander,677551,73,15.7,34.2,111,90.4,94.1,86.2,411,186,398,31,42.5,9,12.3,9.2
Nimmo, Brandon,607043,73,7.5,30.1,111.9,92.2,95.6,91.2,431,141,427,38,52.1,4,5.5,4
Witt Jr., Bobby,677951,72,16.9,26.4,113.8,90.2,93.1,90.5,430,165,390,30,41.7,6,8.3,6.3
Reynolds, Bryan,668804,72,15.5,41.7,112.4,92.3,94.9,91.3,414,183,397,37,51.4,14,19.4,14.9
Springer, George,543807,72,16.3,27.8,115.9,86.6,92.2,85.9,440,173,412,23,31.9,9,12.5,9
Mountcastle, Ryan,663624,72,15.5,41.7,111,93.9,97.7,88.6,456,202,413,37,51.4,12,16.7,12.2
Abreu, José,547989,72,6.7,30.6,109.3,86.7,90.8,83.3,413,147,,26,36.1,5,6.9,5
Renfroe, Hunter,592669,71,12.1,25.4,113.2,90.1,94.4,88.4,413,153,379,36,50.7,6,8.5,6.1
Lowe, Nathaniel,663993,71,5.7,35.2,110.3,88.6,94.8,83,430,151,425,26,36.6,3,4.2,3
Freeman, Freddie,518692,71,12.7,52.1,108.4,89.9,93.1,85.7,425,190,391,27,38,7,9.9,6.8
Bohm, Alec,664761,70,6.8,35.7,109.3,90.6,94.9,89.7,440,150,408,35,50,5,7.1,5.2
Rodríguez, Julio,677594,70,8.4,41.4,113.4,90.7,96.2,84.5,395,176,379,32,45.7,7,10,6.8
Machado, Manny,592518,70,13,28.6,111.6,88.6,92.3,86,402,144,380,23,32.9,4,5.7,4.2
India, Jonathan,663697,69,12.1,37.7,107.9,90.6,93.5,90,385,168,382,30,43.5,3,4.3,3
Perez, Salvador,521692,69,20.7,36.2,111.7,88.6,93.6,82.2,416,205,396,28,40.6,5,7.2,5.5
Arenado, Nolan,571448,69,15,33.3,108,86.8,89.4,84.6,416,158,405,24,34.8,3,4.3,3.1
Candelario, Jeimer,600869,69,13.1,34.8,111.3,89.2,91.7,86.4,442,180,412,21,30.4,4,5.8,4.3
Díaz, Yandy,650490,69,12.6,34.8,114.5,95.8,95.7,97.4,440,190,411,40,58,10,14.5,10.6
Benintendi, Andrew,643217,69,9.6,26.1,105.7,85.4,87.9,83.6,402,134,,15,21.7,1,1.4,1.1
Arozarena, Randy,668227,68,11.6,39.7,114.3,95.7,99.4,92.4,436,189,395,42,61.8,13,19.1,13.3
Arraez, Luis,650333,68,11.6,50,100.3,89.1,90.6,86.9,374,181,358,17,25,3,4.4,3.7
Bellinger, Cody,641355,68,22.8,39.7,108.1,86.8,91.4,80.2,422,196,399,21,30.9,6,8.8,6.5
Gurriel Jr., Lourdes,666971,67,10.9,37.3,105.2,90,93.5,88.1,407,168,370,34,50.7,5,7.5,5.7
Ruiz, Esteury,665923,67,14.5,34.3,108.2,86.7,91,81.9,392,151,,19,28.4,3,4.5,3.2
Meneses, Joey,608841,67,7.3,35.8,110.8,88.5,95.5,83.5,409,153,409,31,46.3,6,9,6.7
Alonso, Pete,624413,67,14,38.8,112.4,91.2,95.8,88.4,431,182,407,30,44.8,12,17.9,11.9
Blackmon, Charlie,453568,67,15.8,40.3,107.9,83.5,87.6,77.9,390,179,389,16,23.9,3,4.5,3.2
Rutschman, Adley,668939,67,20.5,44.8,109,87.9,90.5,82.9,408,212,404,20,29.9,6,9,5.9
Ward, Taylor,621493,66,11.2,30.3,108.7,88.5,91.7,87.6,417,159,395,25,37.9,5,7.6,4.9
García, Adolis,666969,66,13.3,31.8,111.7,93.1,96.2,91.6,432,186,413,34,51.5,10,15.2,10.8
Bryant, Kris,592178,66,12.3,36.4,108.8,84.8,94,74.9,434,157,414,19,28.8,3,4.5,3.2
Pasquantino, Vinnie,686469,66,15.1,45.5,108.7,92.7,94.4,91.1,388,197,380,35,53,4,6.1,4.3
Goldschmidt, Paul,502671,66,19.1,33.3,110.4,95.6,99,92,403,185,401,39,59.1,9,13.6,9.1
Peña, Jeremy,665161,66,6.5,36.4,107.7,87.7,89.9,85.3,432,155,379,22,33.3,3,4.5,3
Estrada, Thairo,642731,65,11.1,43.1,110.5,86,90.9,78,441,180,416,20,30.8,5,7.7,5.6
Robert Jr., Luis,673357,65,15.3,40,113.4,87.9,90.6,87.3,413,175,386,23,35.4,8,12.3,8.2
Walker, Christian,572233,65,17.3,35.4,111.8,86.3,92.8,80.4,412,166,382,21,32.3,5,7.7,5.7
Andrus, Elvis,462101,65,5.9,30.8,108.2,86.7,87.9,87.2,359,139,,18,27.7,0,0,0
Giménez, Andrés,665926,65,7.7,29.2,106.9,84.1,89.9,81.8,407,123,407,16,24.6,1,1.5,1.1
Carroll, Corbin,682998,64,14,35.9,111.1,92,96.4,89.9,432,167,410,28,43.8,7,10.9,7.7
Adames, Willy,642715,64,19.9,35.9,108.7,86.9,93,79,416,186,396,23,35.9,8,12.5,7.9
Straw, Myles,664702,64,8.1,31.3,106.2,86,85.8,87.7,347,126,,13,20.3,0,0,0
Kemp, Tony,643393,64,14.3,26.6,101.6,86.7,90.6,86.1,405,155,405,12,18.8,2,3.1,2.4
Santana, Carlos,467793,64,13,42.2,110.5,90.8,93.9,91.8,382,159,360,27,42.2,5,7.8,5.4
Friedl, TJ,670770,64,9,35.9,105.4,84.7,89.5,82.2,392,130,385,14,21.9,2,3.1,2.2
Rizzo, Anthony,519203,64,21,43.8,110.6,91.3,95.3,84.3,421,205,380,29,45.3,7,10.9,7.4
Tucker, Kyle,663656,64,13,43.8,109.8,91.8,95.2,89.2,437,188,395,33,51.6,8,12.5,8.2
Vaughn, Andrew,683734,63,10.2,33.3,111.2,89.9,96.1,84.3,403,164,378,29,46,6,9.5,6.3
Torkelson, Spencer,679529,63,13.7,31.7,111.7,90.1,94.4,85.8,424,169,421,27,42.9,6,9.5,7
Hernández, Enrique,571771,63,23.2,36.5,108,86.4,88.9,89.9,393,190,376,19,30.2,3,4.8,3.1
Mullins, Cedric,656775,63,20.9,27,107,87.4,91.6,83.2,418,159,399,24,38.1,3,4.8,3.2
Ruiz, Keibert,660688,63,16.2,38.1,106.5,86.2,89,85.3,407,170,407,17,27,3,4.8,4
Yastrzemski, Mike,573262,62,17.5,33.9,110.1,88.6,93.3,85.6,413,166,384,25,40.3,5,8.1,5.9
Ohtani, Shohei,660271,62,10.1,35.5,116.7,91.5,96.5,88.7,447,163,416,32,51.6,9,14.5,9.3
Bell, Josh,605137,62,2.7,27.4,110.5,90,93.7,88.6,410,122,398,26,41.9,6,9.7,6.2
Daza, Yonathan,602074,62,13.7,29,105.4,84.9,86.6,83.5,400,171,,12,19.4,1,1.6,1.3
Urshela, Gio,570482,61,11.9,32.8,105.4,87.3,89.4,85.8,385,153,385,19,31.1,1,1.6,1.3
Castellanos, Nick,592206,61,8.2,37.7,108.4,88.7,93.9,85.3,378,138,371,24,39.3,6,9.8,6.1
Torres, Gleyber,650402,61,13.9,41,108.2,89.1,95,82.8,378,166,370,20,32.8,6,9.8,6.5
Canha, Mark,592192,61,12.9,36.1,109.2,87.2,92.7,82.4,414,176,409,20,32.8,5,8.2,5.6
Edman, Tommy,669242,61,10.2,21.3,109.6,88,89.5,88.6,385,137,364,18,29.5,2,3.3,2.4
Martinez, J.D.,502110,60,18.1,45,111.1,92.4,96.1,88.8,438,184,407,29,48.3,9,15,9.2
Chapman, Matt,656305,60,15.6,40,112.8,95.7,100.1,90.4,423,208,394,38,63.3,20,33.3,21.5
Marte, Starling,516782,60,8.8,38.3,110.1,86.2,91.5,81.5,419,145,419,19,31.7,5,8.3,6.2
Yoshida, Masataka,807799,60,0.2,28.3,112.3,86.9,94.6,82.5,407,121,390,24,40,4,6.7,5
Yelich, Christian,592885,60,4.7,35,113.5,93.8,97.6,93.5,413,142,373,35,58.3,3,5,3
Hernández, Teoscar,606192,60,13.2,36.7,112.6,91.3,96.3,86.1,426,185,414,28,46.7,9,15,9.8
Riley, Austin,663586,60,8.4,31.7,113.3,90.4,95.1,87.8,473,157,404,26,44.8,5,8.3,4.9
Cronenworth, Jake,630105,59,11.3,47.5,108.3,88.8,94.3,83.2,412,189,398,26,44.1,5,8.5,5.4
Rosario, Amed,642708,59,9.1,33.9,107.6,91.8,95,90.1,394,163,387,31,52.5,5,8.5,6
Lindor, Francisco,596019,59,13.9,40.7,111,91.2,96.1,85.7,439,183,400,24,40.7,4,6.8,3.9
Smith, Dominic,642086,59,11.5,28.8,103.2,85.6,91.9,81.2,354,163,,16,27.1,0,0,0
Schwarber, Kyle,656941,59,22,35.6,112.7,92.7,95.3,92.5,438,190,391,26,44.1,8,13.6,8.1
Díaz, Aledmys,649557,59,10.9,30.5,108.2,86.2,90.2,84.9,383,150,383,20,33.9,2,3.4,2.4
