last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Blackmon, Charlie,453568,2017,725,515,0.331,0.29,0.041000000000000036,0.601,0.519,0.08199999999999996,0.414,0.372,0.04199999999999998
Lindor, Francisco,596019,2017,723,566,0.273,0.28,-0.007000000000000006,0.505,0.5,0.0050000000000000044,0.353,0.357,-0.0040000000000000036
Inciarte, Ender,542255,2017,718,575,0.304,0.264,0.03999999999999998,0.409,0.351,0.057999999999999996,0.328,0.292,0.03600000000000003
Betts, Mookie,605141,2017,712,554,0.264,0.273,-0.009000000000000008,0.459,0.436,0.02300000000000002,0.339,0.34,-0.0010000000000000009
Votto, Joey,458015,2017,707,482,0.32,0.299,0.02100000000000002,0.578,0.555,0.02299999999999991,0.428,0.416,0.01200000000000001
Dozier, Brian,572821,2017,705,478,0.271,0.244,0.027000000000000024,0.498,0.468,0.02999999999999997,0.362,0.342,0.019999999999999962
Strange-Gordon, Dee,543829,2017,694,566,0.308,0.261,0.046999999999999986,0.375,0.317,0.057999999999999996,0.312,0.274,0.03799999999999998
Yelich, Christian,592885,2017,694,471,0.282,0.287,-0.0050000000000000044,0.439,0.46,-0.02100000000000002,0.348,0.363,-0.015000000000000013
Stanton, Giancarlo,519317,2017,692,437,0.281,0.277,0.0040000000000000036,0.631,0.599,0.03200000000000003,0.41,0.403,0.006999999999999951
Rizzo, Anthony,519203,2017,691,486,0.273,0.285,-0.011999999999999955,0.507,0.522,-0.015000000000000013,0.38,0.395,-0.015000000000000013
Machado, Manny,592518,2017,690,524,0.259,0.279,-0.020000000000000018,0.471,0.517,-0.04600000000000004,0.328,0.36,-0.03199999999999997
Andrus, Elvis,462101,2017,689,547,0.297,0.264,0.032999999999999974,0.471,0.406,0.06499999999999995,0.344,0.309,0.034999999999999976
Bautista, José,430832,2017,686,424,0.203,0.21,-0.0069999999999999785,0.366,0.38,-0.014000000000000012,0.295,0.305,-0.010000000000000009
Gardner, Brett,458731,2017,682,480,0.264,0.269,-0.0050000000000000044,0.428,0.404,0.023999999999999966,0.336,0.333,0.0030000000000000027
LeMahieu, DJ,518934,2017,682,527,0.31,0.304,0.006000000000000005,0.409,0.404,0.004999999999999949,0.342,0.341,0.0010000000000000009
Arenado, Nolan,571448,2017,679,507,0.309,0.28,0.02899999999999997,0.586,0.525,0.06099999999999994,0.395,0.366,0.029000000000000026
Ozuna, Marcell,542303,2017,679,471,0.312,0.284,0.028000000000000025,0.548,0.52,0.028000000000000025,0.388,0.369,0.019000000000000017
Judge, Aaron,592450,2017,678,338,0.284,0.287,-0.0030000000000000027,0.627,0.668,-0.041000000000000036,0.43,0.45,-0.020000000000000018
Longoria, Evan,446334,2017,677,516,0.261,0.249,0.01200000000000001,0.424,0.411,0.013000000000000012,0.312,0.31,0.0020000000000000018
Abreu, José,547989,2017,675,506,0.304,0.29,0.014000000000000012,0.552,0.52,0.03200000000000003,0.377,0.364,0.013000000000000012
Schoop, Jonathan,570731,2017,675,487,0.293,0.271,0.021999999999999964,0.503,0.441,0.062,0.355,0.33,0.024999999999999967
Hosmer, Eric,543333,2017,671,501,0.318,0.286,0.03200000000000003,0.498,0.452,0.045999999999999985,0.376,0.351,0.025000000000000022
Markakis, Nick,455976,2017,670,486,0.275,0.269,0.006000000000000005,0.384,0.382,0.0020000000000000018,0.321,0.32,0.0010000000000000009
Encarnación, Edwin,429665,2017,669,426,0.258,0.266,-0.008000000000000007,0.504,0.53,-0.026000000000000023,0.373,0.389,-0.016000000000000014
